,eng_val,frame,confidence,timestamp,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU28_c
0,,28.0,,2021-09-25T22:43:53.366359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29.0,,2021-09-25T22:43:54.332448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,30.0,,2021-09-25T22:43:55.339767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,31.0,,2021-09-25T22:43:56.560745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,32.0,,2021-09-25T22:43:57.397392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,33.0,,2021-09-25T22:43:58.667188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,34.0,,2021-09-25T22:43:59.416385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,35.0,,2021-09-25T22:44:00.606274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,36.0,,2021-09-25T22:44:01.422426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,37.0,0.9750000238418579,2021-09-25T22:44:02.434344,-0.0048225028440356255,0.16628877818584442,-0.9860653281211853,-0.16197530925273895,0.1613743156194687,-0.9735103249549866,-19.729244232177734,-111.56427001953125,471.5706787109375,0.025245405733585358,0.15171746909618378,0.1452993005514145,0.0,0.5488014221191406,0.0,0.19518384337425232,0.7126089930534363,1.1983182430267334,0.0,0.01001066155731678,0.009153509512543678,0.0,0.696406900882721,1.413522481918335,1.1521871089935303,1.9612401723861694,0.0,2.003528594970703,0.0,0.0
10,,38.0,,2021-09-25T22:44:03.975238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,39.0,0.9750000238418579,2021-09-25T22:44:04.549356,0.010351336561143398,0.15038524568080902,-0.9885732531547546,-0.16087928414344788,0.1487698256969452,-0.97569739818573,-14.407154083251953,-110.15460205078125,470.0722351074219,-0.0028138163033872843,0.13698790967464447,0.09577048569917679,0.0,0.18048517405986786,0.13338054716587067,0.0,0.15029141306877136,0.8325701355934143,0.0,0.03824580833315849,0.5182139277458191,0.0,0.502599835395813,1.0183802843093872,0.9939000010490417,1.3614245653152466,0.0,1.3707880973815918,0.09381945431232452,0.0
12,,40.0,0.9750000238418579,2021-09-25T22:44:05.632662,0.009147649630904198,0.15739449858665466,-0.9874934554100037,-0.1618751436471939,0.15734517574310303,-0.9741863012313843,-14.498673439025879,-111.14220428466797,478.14111328125,-0.004179907497018576,0.12552887201309204,0.094241201877594,0.00514911999925971,0.47995299100875854,0.07721525430679321,0.015988757833838463,0.31840553879737854,0.0,0.0311142411082983,0.029151923954486847,0.018420888110995293,0.025282396003603935,0.9548702836036682,1.3189741373062134,1.383622407913208,1.311775803565979,0.0,1.4985102415084839,0.4494614601135254,0.0
13,,41.0,0.9750000238418579,2021-09-25T22:44:07.292379,0.008468697778880596,0.13854575157165527,-0.9903198480606079,-0.16579139232635498,0.13753637671470642,-0.9765229225158691,-13.946115493774414,-110.66786193847656,477.25836181640625,-0.025311768054962158,0.12871937453746796,0.10011572390794754,0.03774087131023407,0.36039578914642334,0.01813689060509205,0.2283691018819809,0.2897002398967743,0.6086704730987549,0.33556267619132996,0.0,0.0,0.0,0.7503951191902161,1.4159505367279053,1.069593906402588,1.2107821702957153,0.020180776715278625,1.6738367080688477,0.5095530152320862,0.0
14,,42.0,0.9750000238418579,2021-09-25T22:44:09.023318,0.016188647598028183,0.1286255419254303,-0.9915611147880554,-0.15949773788452148,0.12431609630584717,-0.9793395400047302,-13.476996421813965,-109.39441680908203,471.4265441894531,-0.03702103719115257,0.12701956927776337,0.10341650992631912,0.001167255686596036,0.16017001867294312,0.0,0.5968096852302551,0.16027432680130005,0.7006719708442688,0.016453919932246208,0.10057415068149567,0.9272221326828003,0.28756967186927795,1.2000819444656372,0.7976323366165161,0.5420873761177063,1.2017461061477661,0.0,1.1394987106323242,0.0,0.0
